Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;70.0;;;1;0;2;1125;0;0;0;10;13;88.0;10.0;9.0;10.0;9.0;10.0;9.0;strict;3.51
Palomas;Hortaleza;Guesthouse;Private room;4;1.0;1.0;4.0;65.0;;;1;0;1;1125;21;50;77;345;11;100.0;10.0;10.0;9.0;10.0;9.0;10.0;flexible;1.68
Rios Rosas;Chamberí;Apartment;Entire home/apt;4;1.0;2.0;3.0;65.0;200.0;25.0;3;20;2;1125;4;12;30;292;29;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.74
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;150.0;;77.0;2;17;3;1125;8;19;28;186;0;;;;;;;;strict;
Guindalera;Salamanca;Chalet;Private room;6;1.0;1.0;5.0;130.0;100.0;50.0;1;25;1;1125;0;0;0;0;0;;;;;;;;strict;
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;65.0;100.0;10.0;4;10;2;1125;0;0;22;287;3;87.0;8.0;9.0;10.0;10.0;10.0;8.0;moderate;0.5
Embajadores;Centro;Other;Private room;1;1.0;1.0;;35.0;200.0;;1;15;1;1125;23;53;83;358;1;80.0;10.0;10.0;10.0;6.0;8.0;8.0;strict;0.11
Acacias;Arganzuela;Apartment;Entire home/apt;4;1.0;1.0;2.0;59.0;;20.0;2;10;2;1125;6;14;36;309;8;95.0;10.0;10.0;10.0;9.0;9.0;9.0;strict;1.29
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;55.0;;30.0;2;5;2;1125;8;27;48;319;7;70.0;7.0;7.0;6.0;7.0;10.0;7.0;strict;0.2
Acacias;Arganzuela;Apartment;Private room;1;1.0;1.0;1.0;35.0;;10.0;1;0;2;1125;0;0;0;0;18;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;0.59
Peñagrande;Fuencarral - El Pardo;Apartment;Private room;2;1.0;1.0;1.0;25.0;;;1;20;1;1125;30;60;90;365;3;93.0;9.0;10.0;10.0;10.0;9.0;9.0;moderate;0.13
Universidad;Centro;Apartment;Entire home/apt;6;1.0;2.0;3.0;195.0;200.0;30.0;6;0;1;50;10;27;42;312;3;87.0;9.0;10.0;9.0;9.0;9.0;9.0;moderate;0.1
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;4;1.0;1.0;2.0;50.0;200.0;20.0;2;10;1;1125;3;21;44;319;0;;;;;;;;moderate;
Ibiza;Retiro;Apartment;Entire home/apt;2;1.0;1.0;1.0;52.0;300.0;;1;0;1;1125;20;50;80;355;13;92.0;9.0;10.0;10.0;9.0;10.0;9.0;strict;1.65
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;50.0;;25.0;2;8;4;1125;12;22;24;299;19;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.8
Almagro;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;1.0;100.0;250.0;60.0;2;0;3;1125;0;5;35;310;56;95.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;1.83
Cortes;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;75.0;;25.0;2;10;2;1125;0;6;32;307;10;84.0;9.0;9.0;9.0;9.0;9.0;9.0;strict;0.89
Guindalera;Salamanca;Condominium;Entire home/apt;4;1.5;2.0;2.0;120.0;300.0;;1;0;1;1125;0;0;0;0;0;;;;;;;;moderate;
Arapiles;Chamberí;Apartment;Entire home/apt;4;1.0;2.0;2.0;55.0;;17.0;1;0;5;1125;0;0;0;0;2;100.0;10.0;9.0;10.0;10.0;10.0;10.0;moderate;0.23
Palma de Mallorca;;House;Entire home/apt;4;2.0;2.0;2.0;195.0;100.0;95.0;1;0;7;1125;0;0;28;212;5;88.0;10.0;10.0;8.0;8.0;10.0;9.0;strict;0.48
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;29.0;200.0;20.0;1;0;2;1125;0;9;14;79;39;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.09
Lucero;Latina;Apartment;Entire home/apt;4;1.0;2.0;2.0;65.0;;25.0;2;10;2;180;0;0;5;280;1;80.0;10.0;8.0;8.0;10.0;10.0;10.0;strict;0.07
Delicias;Arganzuela;Apartment;Entire home/apt;3;1.0;2.0;4.0;69.0;;10.0;1;0;1;1125;19;49;74;160;7;93.0;10.0;9.0;10.0;10.0;10.0;10.0;flexible;0.75
Embajadores;Centro;Loft;Entire home/apt;3;1.0;1.0;1.0;60.0;100.0;10.0;1;0;3;1125;10;19;19;19;22;89.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;3.37
Adelfas;Retiro;House;Entire home/apt;6;1.5;2.0;6.0;60.0;100.0;;2;15;3;90;10;15;38;313;128;94.0;10.0;10.0;10.0;10.0;9.0;9.0;strict;2.47
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;65.0;150.0;;2;12;3;1125;8;38;68;343;28;94.0;9.0;10.0;10.0;10.0;10.0;9.0;strict;1.83
Universidad;Centro;Apartment;Entire home/apt;6;2.0;2.0;3.0;100.0;;35.0;4;0;1;1125;5;11;24;286;83;84.0;9.0;9.0;9.0;9.0;9.0;9.0;strict;2.36
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;4;1.0;1.0;2.0;55.0;150.0;25.0;2;6;3;1125;4;9;13;214;53;98.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;3.92
Acacias;Arganzuela;Apartment;Private room;1;0.5;1.0;1.0;39.0;;12.0;1;0;1;1125;0;0;0;0;0;;;;;;;;flexible;
Sol;Centro;Apartment;Entire home/apt;3;1.0;0.0;2.0;82.0;;20.0;1;0;2;32;13;36;66;341;0;;;;;;;;moderate;
Pacífico;Retiro;Condominium;Entire home/apt;6;1.0;3.0;3.0;40.0;100.0;29.0;2;10;1;1125;6;28;44;302;33;86.0;9.0;8.0;9.0;10.0;10.0;9.0;flexible;4.01
Guindalera;Salamanca;Apartment;Private room;2;1.0;1.0;2.0;20.0;;;1;18;1;365;7;37;64;64;3;87.0;9.0;8.0;10.0;10.0;9.0;10.0;strict;0.94
Santa Margalida;;House;Entire home/apt;8;3.0;4.0;6.0;166.0;300.0;;1;0;5;1125;30;60;83;294;2;100.0;10.0;10.0;10.0;10.0;9.0;10.0;flexible;0.26
Bromley;;Apartment;Private room;1;1.0;1.0;1.0;25.0;100.0;5.0;1;0;3;1125;0;0;0;154;5;92.0;10.0;10.0;10.0;9.0;9.0;9.0;moderate;0.35
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;100.0;;;1;5;2;1125;22;44;71;335;0;;;;;;;;flexible;
Casa de Campo;Moncloa - Aravaca;Apartment;Private room;1;1.0;1.0;1.0;18.0;;;1;0;1;1125;0;0;0;0;3;87.0;10.0;9.0;10.0;10.0;9.0;10.0;flexible;0.15
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;45.0;91.0;10.0;1;0;1;1125;0;0;0;246;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.15
Justicia;Centro;Dorm;Shared room;6;2.0;1.0;4.0;130.0;100.0;50.0;4;20;1;1125;0;23;40;291;2;90.0;9.0;10.0;10.0;10.0;10.0;9.0;flexible;0.17
Argüelles;Moncloa - Aravaca;House;Private room;1;0.0;1.0;1.0;29.0;;;1;0;1;1125;0;0;6;281;1;60.0;6.0;6.0;6.0;8.0;8.0;8.0;flexible;0.11
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;65.0;;30.0;1;0;3;1125;8;15;27;74;32;95.0;10.0;9.0;10.0;10.0;10.0;10.0;moderate;4.17
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;75.0;120.0;;1;0;3;14;11;11;11;77;20;91.0;9.0;9.0;9.0;10.0;10.0;9.0;flexible;2.34
Palos de Moguer;Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;25.0;;;1;10;1;45;9;39;69;160;87;93.0;10.0;9.0;9.0;10.0;10.0;9.0;moderate;1.29
Sol;Centro;Apartment;Private room;4;2.0;1.0;4.0;58.0;;10.0;1;0;1;14;4;11;20;247;75;89.0;9.0;9.0;10.0;9.0;10.0;9.0;strict;6.68
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;85.0;300.0;30.0;1;0;2;30;12;42;67;154;2;100.0;10.0;10.0;10.0;10.0;10.0;9.0;strict;1.5
Palacio;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;60.0;;30.0;1;0;2;1125;13;35;55;322;11;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;2.58
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;2.0;25.0;;;1;15;3;90;9;24;54;144;16;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;2.93
Puerta del Angel;Latina;Apartment;Private room;2;1.0;1.0;1.0;39.0;;10.0;1;0;30;365;0;1;7;97;2;90.0;9.0;8.0;10.0;9.0;10.0;10.0;flexible;0.1
Palacio;Centro;Apartment;Entire home/apt;6;2.0;2.0;4.0;113.0;;75.0;4;19;3;90;3;6;10;233;36;96.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;1.96
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;3;1.0;2.0;2.0;45.0;200.0;30.0;1;0;2;1125;0;0;0;0;8;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.41
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;32.0;;;1;0;2;1125;5;24;45;295;127;89.0;9.0;9.0;9.0;9.0;10.0;9.0;moderate;4.47
la Dreta de l'Eixample;Eixample;Apartment;Entire home/apt;6;1.0;6.0;3.0;94.0;;;1;0;2;1125;0;0;0;0;1;20.0;2.0;2.0;2.0;4.0;4.0;2.0;strict;0.23
Valverde;Fuencarral - El Pardo;Apartment;Private room;2;1.0;1.0;;25.0;;;1;10;1;1125;26;56;86;87;0;;;;;;;;flexible;
Hostafrancs;Sants-Montjuïc;Apartment;Entire home/apt;4;1.0;2.0;3.0;188.0;300.0;;1;0;2;1125;0;0;0;0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.1
